Rank,Title,Publisher,Store
1,"2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",이투스북,Aladin
2,"2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",이투스북,Aladin
3,2027 선재국어 신유형 매일 국어 시즌 1,수비니겨,Aladin
4,"2026 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)",이투스북,Aladin
5,2027 이동기 영어 문법 500제 + 핵심문법 44포인트 요약노트 세트 - 전2권,지금(도서출판),Aladin
6,2027 황철곤 행정학 기출문제집 - 전2권,넥스트스터디(모두공북스),Aladin
7,2027 선재국어 시간 단축 독해 훈련 1일 3독,수비니겨,Aladin
8,2027 공단기 심슨 보카,공단기(에스티유니타스),Aladin
9,2027 선재국어 독해야 산다 1일 1독,수비니겨,Aladin
10,2027 이동기 영어 독해 500제 - 전2권,지금(도서출판),Aladin
11,2027 공단기 써니 행정법총론 기본서 - 전2권,공단기(에스티유니타스),Aladin
12,2027 공단기 소방단기 써니 행정법총론 핵심집약,공단기(에스티유니타스),Aladin
13,2027 유휘운 행정법총론 요약노트 + 기출문제 (요.플.) [회독용 암기 APP 제공],넥스트스터디(모두공북스),Aladin
14,2027 심슨 문법,공단기(에스티유니타스),Aladin
15,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",이투스북,Aladin
16,2026 단기 합격 해커스공기업 NCS 통합 기본서 (모듈형+피듈형+PSAT형+모의고사 6회분),해커스잡,Aladin
17,출제 공식 29개로 끝내는 정재현 지텔프 Level 2,영단기(에스티유니타스),Aladin
18,2026 시대에듀 한국실용글쓰기 실제 기출로 끝내기,시대에듀(시대고시기획),Aladin
19,2027 공단기 선재국어 한 권으로 끝장내는 올인원 공무원 국어,공단기(에스티유니타스),Aladin
20,2027 공단기 선재국어 시간 단축 논리 훈련,공단기(에스티유니타스),Aladin
21,한능검 한정판 : 한 권으로 정리하는 판서노트,공단기(에스티유니타스),Aladin
22,2027 공단기 심우철 하프 모의고사 Season 1 : 70+,공단기(에스티유니타스),Aladin
23,2027 이동기 공무원 VOCA,지금(도서출판),Aladin
24,2027 황철곤 행정학 기본서 - 전2권,넥스트스터디(모두공북스),Aladin
25,2027 심슨 구문,공단기(에스티유니타스),Aladin
26,독끝 NCS 통합 기본서(PAST형+모듈형+피듈형) : 공기업 NCS 대비 세트 - 전2권,애드투,Aladin
27,2026 김건호 헌법 최근 3개년 기출ㆍ예상 헌법판례 [하반기],박영사,Aladin
28,2027 공단기 심슨 독해,공단기(에스티유니타스),Aladin
29,2027 해커스공무원 기출 보카 3000+ 1~2권+영어단어 미니암기장 3종 세트 - 전3권 (스프링),해커스공무원,Aladin
30,"2027 해커스공무원 3분의 1로 줄여 쓴 김대현 행정법총론 기본서 (9급, 7급 공무원)",행정법 무료 특강 제공,Aladin
31,2027 김영북스 공부돼지 벼락치기 한능검 한국사능력검정시험 심화(1·2·3급),김영북스,Aladin
32,2026 COMPACT 형사법 최신판례,타임노트,Aladin
33,2027 공단기 이유진 국어 독해 알고리즘 개념 훈련,공단기(에스티유니타스),Aladin
34,2027 이기적 빅데이터분석기사 필기 기본서,영진.com(영진닷컴),Aladin
35,2027 해커스공무원 영어 올인원 기본서 (9급 공무원) - 전3권,핵심 단어 암기장,Aladin
36,원페이지 교육학 기본서 하,새벽노을,Aladin
37,원페이지 교육학 영역별 문제집,새벽노을,Aladin
38,2027 공단기 이유진 국어 독해 알고리즘 기출 분석,공단기(에스티유니타스),Aladin
39,원페이지 교육학 기본서 상,새벽노을,Aladin
40,2027 해커스공무원 신민숙 쉬운국어 한 권으로 끝 (9급 공무원),해커스공무원,Aladin
41,2026 공단기 써니 행정법각론 기출문제집,공단기(에스티유니타스),Aladin
42,2027 대비 법원직 형사소송법,학연,Aladin
43,11일에 완성하는 서경석의 다이어트 한국사능력검정시험 심화(1·2·3급),다락원,Aladin
44,2027 공단기 월간 이유진 국어 미니모고 : 유형편,빛나는 별,Aladin
45,2027 김건호 헌법 1700개 OX로 끝내는 파이널,박영사,Aladin
46,2027 에듀윌 KBS한국어능력시험 한권끝장+무료특강,에듀윌,Aladin
47,2027 해커스군무원 신민숙 쉬운국어 문법.어휘 한 권으로 끝 (9·7급 군무원),군무원 국어 무료 특강,Aladin
48,2027 유휘운 행정법총론 기출문제 풀어주는 기본서 (기.풀.기.)  - 전2권 [회독용 암기 APP 제공],넥스트스터디(모두공북스),Aladin
49,2027 해커스공무원 신민숙 쉬운국어 문법·공문서 강화 200제 (9급 공무원),신유형 반영,Aladin
50,2026 하반기 고시넷 국민건강보험공단 NCS 실전모의고사,고시넷,Aladin
